2,Bronson C S,Santa Cruz,Pink,4199.99,11,Closeout Bikes
3,Pre-Owned INTENSE RECLUSE EXPERT 27.5 XL,Intense,Yellow,2999.99,21,Closeout Bikes
4,S-Works Stumpjumper 29,Specialized,Silver,9519.99,19,Closeout Bikes
5,Levo SL Comp Carbon,Specialized,Pink,7524.99,65,Closeout Bikes
6,Ruby,Specialized,Red,1399.99,72,Closeout Bikes
7,DEMO 2020 Hightower with Reserve Carbon Wheels C S XL,Santa Cruz,Green,5120.00,58,Closeout Bikes
8,Domane+,Trek,Black,5499.99,26,Closeout Bikes
9,SB140 T-Series T1,Yeti Cycles,Pink,6899.99,70,Closeout Bikes
10,Turbo Vado 5.0,Specialized Turbo,Red,5149.99,80,Closeout Bikes
11,DEMO 2020 Hightower with Reserve Carbon Wheels C S LG,Santa Cruz,Blue,5120.00,55,Closeout Bikes
12,Men's Stumpjumper EVO Comp Alloy 27.5,Specialized,Purple,3619.99,75,Closeout Bikes
13,Roscoe 8,Trek,Blue,1249.99,18,Closeout Bikes
14,Cruiser 1 Step-Thru,Electra,Green,289.99,30,Closeout Bikes
15,Stumpjumper Expert Carbon 29,Specialized,Black,5919.99,17,Closeout Bikes
16,Kenevo Comp,Specialized Turbo,White,3999.99,38,Closeout Bikes
17,Fuel EX 9.8 29,Trek,Gray,4399.99,8,Closeout Bikes
18,Roll Elite,Specialized,Red,559.99,50,Closeout Bikes
19,Men's Sirrus Elite Carbon,Specialized,Silver,1199.99,81,Closeout Bikes
20,Men's Chisel Comp X1,Specialized,Purple,1399.99,65,Closeout Bikes
21,DEMO 2020 BRONSON C S MD,Santa Cruz,Pink,4159.99,7,Closeout Bikes
22,Sirrus 3.0,Specialized,Blue,874.99,46,Closeout Bikes
23,GX Folding Black,Gocycle,Pink,2799.99,53,Closeout Bikes
24,Roll Elite LTD,Specialized,Black,699.99,86,Closeout Bikes
25,GX Folding Blue,Gocycle,Silver,2799.99,92,Closeout Bikes
26,Allez Elite,Specialized,Purple,1149.99,5,Closeout Bikes
27,Men's Sirrus X Comp Carbon,Specialized,Blue,1449.99,5,Hybrid
28,Slash 9.8,Trek,Purple,4099.99,75,Hybrid
29,Roscoe 7 Women's,Trek,Gray,1159.99,22,Hybrid
30,Roscoe 8,Trek,Teal,1649.99,67,Hybrid
31,Men's RockHopper Expert,Specialized,Purple,799.99,26,Hybrid
32,Allez Sprint Comp Disc,Specialized,Pink,1749.99,41,Hybrid
33,Stumpjumper EVO Pro 29,Specialized,Green,5296.00,80,Hybrid
34,Sirrus 1.0,Specialized,Yellow,474.99,62,Hybrid
35,Women's Stumpjumper ST Comp Carbon 29,Specialized,Pink,3799.99,25,Hybrid
36,CrossTrail - Mechanical Disc,Specialized,Pink,474.99,75,Hybrid
37,"DEMO FUJI TRAVERSE 1.3 15""",,Teal,649.99,88,Hybrid
38,Women's Stumpjumper ST Comp Alloy 29,Specialized,Purple,2819.99,42,Hybrid
39,FX 1 Disc,Trek,Green,549.99,59,Hybrid
40,520,Trek,Black,1349.99,23,Hybrid
41,Domane SL 5 Disc Women's,Trek,Purple,2199.99,59,Hybrid
42,DEMO SE RACING LAGER,SE Racing,Teal,399.99,96,Hybrid
43,Men's Sirrus X Comp Carbon,Specialized,Gray,1449.99,26,Closeout Bikes
44,Roll Elite LTD II – Low Roller,Specialized,Blue,1000.00,96,Closeout Bikes
45,Dual Sport 1,Trek,Black,549.99,52,Hybrid
46,Verve 2 Disc Lowstep,Trek,Silver,649.99,99,Hybrid
47,Sirrus X 4.0,Specialized,Green,1249.99,89,Hybrid
48,Roll Elite LTD,Specialized,Green,699.99,27,Hybrid
49,FX 3 Disc,Trek,Blue,799.99,78,Hybrid
50,Roll Elite,Specialized,Pink,559.99,56,Hybrid
51,CrossTrail - Mechanical Disc,Specialized,White,474.99,51,Hybrid
52,Sirrus X 2.0,Specialized,Green,599.99,36,Hybrid
53,FX 1 Stagger Disc,Trek,Red,549.99,76,Hybrid
54,Verve 2 Disc,Trek,Green,649.99,80,Hybrid
55,Dual Sport 2,Trek,Black,669.99,59,Hybrid
56,Men's Sirrus Sport,Specialized,Blue,824.99,62,Hybrid
57,Men's Sirrus Elite Carbon,Specialized,Red,1199.99,60,Hybrid
58,Women's Sirrus V-Brake,Specialized,Purple,424.99,17,Hybrid
59,CruX,Specialized S-Works,Red,4499.99,62,Hybrid
60,Lookfar,Fairdale,Red,519.99,7,Hybrid
61,Express,Fairdale,Purple,429.99,1,Hybrid
62,Sirrus X 5.0,Specialized,Pink,1699.99,68,Hybrid
63,Ariel Hydraulic Disc,Specialized,Silver,599.99,4,Hybrid
64,Wahoo 26,Trek,Yellow,479.99,32,Closeout Bikes
65,Women's Sirrus Sport Disc,Specialized,Green,824.99,38,Closeout Bikes
66,Roll Low Entry,Specialized,Blue,534.99,99,Closeout Bikes
67,Lookfar Bicycle Sport Shop LTD Edition,Fairdale,Silver,579.99,24,Closeout Bikes
68,Crosstrail Sport,Specialized,Black,699.99,13,Closeout Bikes
69,Weekender Archer,Fairdale,White,889.99,4,Closeout Bikes
70,Men's Sirrus Alloy - V-Brake,Specialized,Teal,424.99,71,Closeout Bikes
71,X-Caliber 7,Trek,Teal,859.99,30,Closeout Bikes
72,Allez,Specialized,Blue,699.99,11,Closeout Bikes
73,CrossTrail Elite Alloy,Specialized,Pink,999.99,79,Closeout Bikes
74,SB100 Carbon GX Comp,Yeti Cycles,Green,4499.99,29,Closeout Bikes
75,Men's Sirrus Sport,Specialized,Black,824.99,4,Closeout Bikes
76,Women's Sirrus V-Brake,Specialized,Pink,424.99,67,Closeout Bikes
77,Bronson C S,Santa Cruz,Green,4199.99,3,Closeout Bikes
78,Fuel EX 8 29,Trek,Pink,2949.99,92,Closeout Bikes
79,Chiron Ultegra Di2 Disc,Alchemy,Green,5999.99,3,Closeout Bikes
80,Eros Ultegra Di2 Disc,Alchemy,Black,5999.99,88,Closeout Bikes
81,GS,Gocycle,Gray,2299.99,60,Closeout Bikes
82,Women's Sirrus Disc,Specialized,Pink,559.99,20,Closeout Bikes
83,Weekender Nomad,Fairdale,Yellow,1399.99,10,Closeout Bikes
84,Chameleon D+ 27.5,Santa Cruz,Pink,1649.99,39,Closeout Bikes
85,Roll Low Entry,Specialized,Purple,534.99,61,Closeout Bikes
86,Hotwalk,Specialized,Blue,174.99,62,Closeout Bikes
87,5010 Carbon C S+ 27.5 - Reserve,Santa Cruz,White,4999.99,92,Closeout Bikes
88,Men's Sirrus Alloy Disc,Specialized,White,559.99,46,Closeout Bikes
89,Hightower LT Carbon C S 29 Reserve,Santa Cruz,White,4999.99,46,Closeout Bikes
