2,Bronson C S,Pink,4199.99,11,Closeout Bikes
3,Pre-Owned INTENSE RECLUSE EXPERT 27.5 XL,Yellow,2999.99,21,Closeout Bikes
4,S-Works Stumpjumper 29,Silver,9519.99,19,Closeout Bikes
5,Levo SL Comp Carbon,Pink,7524.99,65,Closeout Bikes
6,Ruby,Red,1399.99,72,Closeout Bikes
7,DEMO 2020 Hightower with Reserve Carbon Wheels C S XL,Green,5120.00,58,Closeout Bikes
8,Domane+,Black,5499.99,26,Closeout Bikes
9,SB140 T-Series T1,Pink,6899.99,70,Closeout Bikes
10,Turbo Vado 5.0,Red,5149.99,80,Closeout Bikes
11,DEMO 2020 Hightower with Reserve Carbon Wheels C S LG,Blue,5120.00,55,Closeout Bikes
12,Men's Stumpjumper EVO Comp Alloy 27.5,Purple,3619.99,75,Closeout Bikes
13,Roscoe 8,Blue,1249.99,18,Closeout Bikes
14,Cruiser 1 Step-Thru,Green,289.99,30,Closeout Bikes
15,Stumpjumper Expert Carbon 29,Black,5919.99,17,Closeout Bikes
16,Kenevo Comp,White,3999.99,38,Closeout Bikes
17,Fuel EX 9.8 29,Gray,4399.99,8,Closeout Bikes
18,Roll Elite,Red,559.99,50,Closeout Bikes
19,Men's Sirrus Elite Carbon,Silver,1199.99,81,Closeout Bikes
20,Men's Chisel Comp X1,Purple,1399.99,65,Closeout Bikes
21,DEMO 2020 BRONSON C S MD,Pink,4159.99,7,Closeout Bikes
22,Sirrus 3.0,Blue,874.99,46,Closeout Bikes
23,GX Folding Black,Pink,2799.99,53,Closeout Bikes
24,Roll Elite LTD,Black,699.99,86,Closeout Bikes
25,GX Folding Blue,Silver,2799.99,92,Closeout Bikes
26,Allez Elite,Purple,1149.99,5,Closeout Bikes
27,Men's Sirrus X Comp Carbon,Blue,1449.99,5,Hybrid
28,Slash 9.8,Purple,4099.99,75,Hybrid
29,Roscoe 7 Women's,Gray,1159.99,22,Hybrid
30,Roscoe 8,Teal,1649.99,67,Hybrid
31,Men's RockHopper Expert,Purple,799.99,26,Hybrid
32,Allez Sprint Comp Disc,Pink,1749.99,41,Hybrid
33,Stumpjumper EVO Pro 29,Green,5296.00,80,Hybrid
34,Sirrus 1.0,Yellow,474.99,62,Hybrid
35,Women's Stumpjumper ST Comp Carbon 29,Pink,3799.99,25,Hybrid
36,CrossTrail - Mechanical Disc,Pink,474.99,75,Hybrid
37,"DEMO FUJI TRAVERSE 1.3 15""",Teal,649.99,88,Hybrid
38,Women's Stumpjumper ST Comp Alloy 29,Purple,2819.99,42,Hybrid
39,FX 1 Disc,Green,549.99,59,Hybrid
40,520,Black,1349.99,23,Hybrid
41,Domane SL 5 Disc Women's,Purple,2199.99,59,Hybrid
42,DEMO SE RACING LAGER,Teal,399.99,96,Hybrid
43,Men's Sirrus X Comp Carbon,Gray,1449.99,26,Closeout Bikes
44,Roll Elite LTD II – Low Roller,Blue,1000.00,96,Closeout Bikes
45,Dual Sport 1,Black,549.99,52,Hybrid
46,Verve 2 Disc Lowstep,Silver,649.99,99,Hybrid
47,Sirrus X 4.0,Green,1249.99,89,Hybrid
48,Roll Elite LTD,Green,699.99,27,Hybrid
49,FX 3 Disc,Blue,799.99,78,Hybrid
50,Roll Elite,Pink,559.99,56,Hybrid
51,CrossTrail - Mechanical Disc,White,474.99,51,Hybrid
52,Sirrus X 2.0,Green,599.99,36,Hybrid
53,FX 1 Stagger Disc,Red,549.99,76,Hybrid
54,Verve 2 Disc,Green,649.99,80,Hybrid
55,Dual Sport 2,Black,669.99,59,Hybrid
56,Men's Sirrus Sport,Blue,824.99,62,Hybrid
57,Men's Sirrus Elite Carbon,Red,1199.99,60,Hybrid
58,Women's Sirrus V-Brake,Purple,424.99,17,Hybrid
59,CruX,Red,4499.99,62,Hybrid
60,Lookfar,Red,519.99,7,Hybrid
61,Express,Purple,429.99,1,Hybrid
62,Sirrus X 5.0,Pink,1699.99,68,Hybrid
63,Ariel Hydraulic Disc,Silver,599.99,4,Hybrid
64,Wahoo 26,Yellow,479.99,32,Closeout Bikes
65,Women's Sirrus Sport Disc,Green,824.99,38,Closeout Bikes
66,Roll Low Entry,Blue,534.99,99,Closeout Bikes
67,Lookfar Bicycle Sport Shop LTD Edition,Silver,579.99,24,Closeout Bikes
68,Crosstrail Sport,Black,699.99,13,Closeout Bikes
69,Weekender Archer,White,889.99,4,Closeout Bikes
70,Men's Sirrus Alloy - V-Brake,Teal,424.99,71,Closeout Bikes
71,X-Caliber 7,Teal,859.99,30,Closeout Bikes
72,Allez,Blue,699.99,11,Closeout Bikes
73,CrossTrail Elite Alloy,Pink,999.99,79,Closeout Bikes
74,SB100 Carbon GX Comp,Green,4499.99,29,Closeout Bikes
75,Men's Sirrus Sport,Black,824.99,4,Closeout Bikes
76,Women's Sirrus V-Brake,Pink,424.99,67,Closeout Bikes
77,Bronson C S,Green,4199.99,3,Closeout Bikes
78,Fuel EX 8 29,Pink,2949.99,92,Closeout Bikes
79,Chiron Ultegra Di2 Disc,Green,5999.99,3,Closeout Bikes
80,Eros Ultegra Di2 Disc,Black,5999.99,88,Closeout Bikes
81,GS,Gray,2299.99,60,Closeout Bikes
82,Women's Sirrus Disc,Pink,559.99,20,Closeout Bikes
83,Weekender Nomad,Yellow,1399.99,10,Closeout Bikes
84,Chameleon D+ 27.5,Pink,1649.99,39,Closeout Bikes
85,Roll Low Entry,Purple,534.99,61,Closeout Bikes
86,Hotwalk,Blue,174.99,62,Closeout Bikes
87,5010 Carbon C S+ 27.5 - Reserve,White,4999.99,92,Closeout Bikes
88,Men's Sirrus Alloy Disc,White,559.99,46,Closeout Bikes
89,Hightower LT Carbon C S 29 Reserve,White,4999.99,46,Closeout Bikes
90,Men's Sirrus Elite Alloy,Black,849.99,21,Closeout Bikes
91,Riprock Expert 24,Yellow,999.99,2,Closeout Bikes
92,Sport 12 Balance Bike,Purple,119.99,72,Closeout Bikes
93,Men's Sirrus Alloy - V-Brake,Green,424.99,95,Closeout Bikes
94,Men's Sirrus Alloy Disc,Purple,559.99,6,Closeout Bikes
95,CrossTrail Elite Alloy,Gray,999.99,29,Closeout Bikes
96,Roll,Yellow,534.99,34,Closeout Bikes
97,FX 1,Yellow,399.99,85,Closeout Bikes
98,Epic Expert EVO,Teal,4349.99,8,Closeout Bikes
99,FX Sport 6,Black,1899.99,99,Closeout Bikes
100,Dual Sport 2 Women's,Black,669.99,67,Closeout Bikes
101,Domane SL 5 Disc,White,2199.99,25,Closeout Bikes
102,Ariel Hydraulic Disc,Purple,599.99,75,Closeout Bikes
103,Dual Sport 1 Women's,Yellow,549.99,0,Closeout Bikes
104,Stumpjumper EVO Pro 27.5,Green,5296.00,35,Closeout Bikes
105,Crosstrail Sport,Pink,699.99,44,Closeout Bikes
106,Checkpoint SL 5,Pink,2599.99,2,Closeout Bikes
107,Women's Sirrus Sport Disc,Silver,824.99,17,Closeout Bikes
108,AWOL Expert,Teal,1499.99,78,Closeout Bikes
109,Bronson Aluminum R+,Green,3149.99,78,Closeout Bikes
110,Roscoe 7,Purple,999.99,75,Closeout Bikes
111,FX Sport 6,Black,1899.99,30,Closeout Bikes
112,Tallboy Carbon C S,Teal,3899.99,45,Closeout Bikes
113,Women's Sirrus Disc,Purple,559.99,79,Closeout Bikes
114,Roubaix,Red,2199.99,14,Closeout Bikes
115,Men's Sirrus Elite Alloy,Pink,849.99,25,Closeout Bikes
116,Men's Tarmac Disc Sport,Red,2599.99,8,Closeout Bikes
117,Domane SL 5,Silver,2899.99,78,Closeout Bikes
118,Sirrus X 3.0,Pink,849.99,82,Closeout Bikes
119,Domane+,Green,5499.99,21,Road
120,Diverge E5 Elite,Green,1599.99,29,Road
121,Levo,Teal,4726.25,29,Road
122,Top Fuel 9.8,Purple,4999.99,14,Road
123,Creo SL Expert,Purple,8999.99,6,Road
124,DEMO 2020 Bronson C S LG,Red,4159.99,93,Road
125,Allez Elite,Silver,1215.00,87,Road
126,Vaya GRX 600,Teal,2299.99,82,Road
127,Women's Diverge E5,Black,1099.99,43,Mountain
128,BREEZER RADAR PRO 51CM (new bike),Blue,1299.99,13,Mountain
129,BREEZER RADAR PRO 54CM (new bike),Black,1299.99,45,Road
130,Roubaix Comp Ultegra Di2,Teal,4399.99,98,Road
131,BREEZER RADAR PRO 48CM (new bike),Silver,1299.99,37,Road
132,Checkpoint AL 4,Pink,1599.99,21,Road
133,Pre-Owned SPECIALIZED AMIRA EXPERT SL4 w/ENVE wheelset,White,1999.99,1,Road
134,Checkpoint AL 3,Teal,1199.99,27,Road
135,Stumpjumper ST 27.5,Pink,2009.99,37,Road
136,Diverge E5 Comp,Teal,1999.99,81,Road
